Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
AACAF,"AAC Technologies Holdings, Inc.",7.29,0.025024158,8809.965,21.79,0.545369548,0.425455484
AACAY,"AAC Technologies Holdings, Inc.",7.18,0.021576184,8677.03,21.46,0.463130045,1.723018441
AAPL,"Apple, Inc.",313.06,0.009491102,1401466.244,24.54,0.238339775,1.481518172
ABT.TO,Absolute Software Corporation,10.41,0.0307,438.72,41.9,96.76,N/A
ACKAY,Arçelik AS,16.03,N/A,2166.383968,13.29,N/A,0.333639944
ACN,Accenture Plc,211.89,0.013651239,140520.7494,27.78,0.382765084,0.944872225
ADI,"Analog Devices, Inc.",122.81,0.017342433,45953.2207,37.49,0.659582265,1.628418211
ADTN,"ADTRAN, Inc.",9.37,0.039258451,438.56442,-8.29,-0.318894499,1.132283391
ADTTF,Advantest Corp.,52,0.014678379,10315.3583,23.48,0.344593991,1.336745063
AELTF,Adacel Technologies Ltd.,0.42,N/A,32.024706,-15.11,N/A,0.343612962
AEXAY,ATOS SE,16.21,0.016758236,8845.809806,11.82,0.198054097,1.201458224
ALMFF,Altium Ltd.,23.58,0.011195464,3086.967306,58.61,0.656199435,0.016036683
ALOT,"AstroNova, Inc.",12.46,0.022134387,89.4355,16.02,0.36077825,0.388586581
ALSWF,Absolute Software Corp.,7.88,0.030603531,333.66284,30.57,0.935437655,-0.02126795
ALTKY,Altran Technologies SA,1.52,0.017828947,3869.29984,24.28,0.432907348,0.393602124
AMADF,Amadeus IT Group SA,78.42,0.015621015,33800.49877,27.78,0.433997024,0.365816423
AMADY,Amadeus IT Group SA,77.63,0.017640088,33455.70706,27.5,0.48515553,0.913955508
AMAT,"Applied Materials, Inc.",64.27,0.012650602,60995.5048,21.02,0.274770207,1.769933261
AMOT,"Allied Motion Technologies, Inc.",46.75,0.002567394,448.704,27.13,0.06956925,1.251238148
AMSWA,"American Software, Inc.",19.18,0.027672956,508.057263,84.62,1.939180256,0.933945397
APELY,"Alps Alpine Co., Ltd.",32.42,N/A,3314.034144,704.78,N/A,0.72965938
APH,Amphenol Corp.,101.75,0.009256581,30916.05471,26.17,0.24695169,1.243390619
ARLUF,Aristocrat Leisure Ltd.,24.58,0.015978149,15665.94615,31.86,0.509130033,0.027094796
ASMIY,ASM International NV,123.93,0.015265472,6146.853642,20.29,0.309722995,0.500312528
ASML,ASML Holding NV,306.03,0.009526621,131598.1548,50.89,0.496683576,1.53922043
ASMLF,ASML Holding NV,314.74,0.008497425,132131.3148,45.79,0.389128399,0.851245684
ASMVF,ASM Pacific Technology Ltd.,14.5,0.023750885,5923.395,46.49,1.104161034,0.0402202
ASMVY,ASM Pacific Technology Ltd.,37.48,0.024893116,5103.6516,40.06,0.997214622,1.067099748
ASOZF,Asseco Poland SA,12.68,0.242113565,1052.443804,11.93,2.887237844,0
ASOZY,Asseco Poland SA,15.6,0.051782051,1294.80468,14.67,0.759710336,0.282800807
ASX,"ASE Technology Holding Co., Ltd.",4.82,0.032484725,10450.78525,18.78,0.621347877,0.85994737
ATDRY,Auto Trader Group Plc,1.82,0.009304396,6696.169829,26.45,0.246133721,0.621391969
ATEYY,Advantest Corp.,51.87,N/A,10284.3856,23.42,N/A,0.783222467
ATVI,"Activision Blizzard, Inc.",63.365,0.00578125,49168.64,32.26,0.188333503,1.34032731
AUKUF,ams AG,46.95,N/A,3795.252407,44.92,N/A,0.571792438
AVEVF,AVEVA Group Plc,68.57,0.008317186,11050.65412,149.42,1.242775016,0.244017983
AVGO,"Broadcom, Inc.",304.41,0.034277584,123013.1981,44.96,1.565268754,1.49328812
AVT,"Avnet, Inc.",35.585,0.022702104,3606.047424,36.68,0.845273683,1.379685165
AVX,AVX Corp.,21.69,0.022373541,3478.36136,17.84,0.378258367,1.186039744
AYI,"Acuity Brands, Inc.",115.7,0.004488563,4589.977,14.88,0.066881029,1.417729383
BBOX,Black Box Corporation,,N/A,N/A,N/A,N/A,N/A
BCNAF,Barco NV,245.5,0.009368635,3089.991151,28.89,0.270696514,-0.015293495
BDC,"Belden, Inc.",48.03,0.004078303,2229.3584,-5.53,-0.023041475,1.755578893
BELFA,"Bel Fuse, Inc.",12,0.020740741,165.699,-19.12,-0.448,1.269416985
BELFB,"Bel Fuse, Inc.",13.16,0.018360656,187.1785,-17.96,-0.383982447,2.182892626
BKTI,BK Technologies Corp.,2.71,0.029411765,34.43248,-13.17,-0.388726919,0.173280529
BLKB,"Blackbaud, Inc.",75.59,0.006245934,3776.409,303.05,1.924619086,1.412073029
BMI,"Badger Meter, Inc.",69.63,0.009060023,2056.40104,42.84,0.393773457,0.914347944
BRKS,"Brooks Automation, Inc.",38.19,0.010078105,2921.9778,99.69,1.044113808,2.030281927
BVILF,Breville Group Ltd.,12.4,N/A,1616.7368,31.77,N/A,-0.711344668
BVILY,Breville Group Ltd.,18.05,0.028365651,1176.69755,23.12,0.655821698,N/A
BYDIF,"BYD Electronic (International) Co., Ltd.",2.15,0.103209302,4844.38,20.32,2.097353497,0.359795915
CA,"CA, Inc.",,N/A,N/A,N/A,N/A,N/A
CBLNY,Mersen SA,6.42,0.033193146,661.579427,9.45,0.313659111,-0.127389412
CCMP,Cabot Microelectronics Corp.,158.42,0.010262049,4784.75217,71.6,0.759390679,1.796518227
CCOEF,"Capcom Co., Ltd.",27.01,0.013620917,2883.328952,19.13,0.260516198,-0.552668415
CCUR,"CCUR Holdings, Inc.",4.9,0.102040816,43.7276,5.14,0.5249895,0.210107811
CDK,"CDK Global, Inc.",50,0.011652748,6255.62308,128.56,1.542416452,1.392607222
CDW,CDW Corp.,133.985,0.009150752,19862.46144,26.37,0.249079489,1.260705878
CGEMY,Capgemini SE,24.56,0.015651466,20733.76788,21.31,0.333564734,1.000989821
