,idf_weights
areas,1.4324209180966925
29,1.4324209180966925
important,1.4324209180966925
separately,1.4324209180966925
others,1.4324209180966925
calculation,1.4324209180966925
termination,1.4324209180966925
limitations,1.4324209180966925
opportunities,1.4324209180966925
environment,1.4324209180966925
quality,1.4324209180966925
useful,1.440651417233208
users,1.440651417233208
stockholders,1.440651417233208
hierarchy,1.440651417233208
fund,1.440651417233208
strategies,1.440651417233208
amended,1.440651417233208
unit,1.440651417233208
allows,1.440651417233208
now,1.440651417233208
technical,1.4489502200479032
immaterial,1.4489502200479032
pre,1.4489502200479032
limit,1.4489502200479032
infrastructure,1.4489502200479032
occurs,1.4489502200479032
focus,1.4489502200479032
manner,1.4489502200479032
grant,1.4573184697184198
six,1.4573184697184198
world,1.4573184697184198
relate,1.4573184697184198
research,1.4573184697184198
minimum,1.4573184697184198
potentially,1.4573184697184198
spending,1.4573184697184198
ordinary,1.4573184697184198
incorporated,1.4573184697184198
entitled,1.4573184697184198
involved,1.4657573383642846
domestic,1.4657573383642846
discount,1.4657573383642846
capacity,1.4657573383642846
finance,1.4657573383642846
broad,1.4657573383642846
except,1.4657573383642846
unless,1.4657573383642846
major,1.4657573383642846
action,1.4742680280321931
recognizes,1.4742680280321931
continuing,1.4742680280321931
active,1.4742680280321931
address,1.4742680280321931
negative,1.4742680280321931
generate,1.4742680280321931
integration,1.4742680280321931
matter,1.4742680280321931
excluded,1.4828517717235845
competition,1.4828517717235845
settled,1.4828517717235845
distribution,1.4828517717235845
contingencies,1.4828517717235845
comprised,1.4828517717235845
licenses,1.4828517717235845
differences,1.4828517717235845
november,1.4828517717235845
partners,1.4828517717235845
integrated,1.4828517717235845
vesting,1.4828517717235845
particularly,1.4915098344666993
enable,1.4915098344666993
reclassified,1.4915098344666993
contains,1.4915098344666993
money,1.4915098344666993
negatively,1.4915098344666993
best,1.4915098344666993
allowance,1.4915098344666993
design,1.4915098344666993
intends,1.4915098344666993
core,1.4915098344666993
low,1.4915098344666993
indemnification,1.4915098344666993
arise,1.4915098344666993
consists,1.5002435144354538
authorization,1.5002435144354538
previous,1.5002435144354538
unaudited,1.5002435144354538
structure,1.5002435144354538
availability,1.5002435144354538
help,1.5002435144354538
incentive,1.5002435144354538
eliminated,1.5002435144354538
occurred,1.5002435144354538
relevant,1.5002435144354538
restructuring,1.5002435144354538
undertake,1.5002435144354538
take,1.5002435144354538
obtained,1.5002435144354538
principles,1.5002435144354538
indebtedness,1.5090541441176086
606,1.5090541441176086
exposed,1.5090541441176086
acquire,1.5090541441176086
invest,1.5090541441176086
least,1.5090541441176086
temporary,1.5090541441176086
infringement,1.5179430915348546
met,1.5179430915348546
strong,1.5179430915348546
production,1.5179430915348546
stated,1.5179430915348546
enterprise,1.5179430915348546
throughout,1.5179430915348546
develop,1.5179430915348546
alternative,1.5179430915348546
contained,1.5179430915348546
expand,1.5179430915348546
off,1.5179430915348546
class,1.5179430915348546
own,1.5179430915348546
independent,1.526911761517615
practical,1.526911761517615
facts,1.526911761517615
default,1.526911761517615
interpretations,1.526911761517615
33,1.526911761517615
instances,1.526911761517615
practices,1.526911761517615
amendments,1.526911761517615
failure,1.5359615970375329
investors,1.5359615970375329
better,1.5359615970375329
court,1.5359615970375329
12b,1.5359615970375329
original,1.5359615970375329
agreed,1.5359615970375329
derivatives,1.5359615970375329
preparation,1.5450940806008056
out,1.5450940806008056
elect,1.5450940806008056
dilutive,1.5450940806008056
numerous,1.5450940806008056
advance,1.5450940806008056
unfavorable,1.5450940806008056
private,1.5450940806008056
earned,1.5450940806008056
arrangement,1.5450940806008056
annually,1.5543107357057295
experienced,1.5543107357057295
utilize,1.5543107357057295
updates,1.5543107357057295
capitalized,1.5543107357057295
quoted,1.5543107357057295
patent,1.5543107357057295
mitigate,1.5543107357057295
caused,1.5543107357057295
lawsuits,1.5543107357057295
behalf,1.5543107357057295
agency,1.5543107357057295
recently,1.5543107357057295
cloud,1.5543107357057295
reform,1.5543107357057295
ending,1.5543107357057295
twelve,1.5543107357057295
commitment,1.5543107357057295
lead,1.5543107357057295
loan,1.5543107357057295
officers,1.5543107357057295
often,1.5543107357057295
restrictions,1.563613128368043
inherent,1.563613128368043
makes,1.563613128368043
90,1.563613128368043
professional,1.563613128368043
reviews,1.563613128368043
points,1.563613128368043
definitions,1.563613128368043
adequate,1.563613128368043
staff,1.573002868717882
file,1.573002868717882
methods,1.573002868717882
personnel,1.573002868717882
comply,1.573002868717882
dependent,1.573002868717882
units,1.573002868717882
needed,1.573002868717882
disclose,1.573002868717882
audit,1.573002868717882
effectively,1.573002868717882
02,1.573002868717882
hardware,1.573002868717882
response,1.573002868717882
owned,1.573002868717882
even,1.582481612672426
reportable,1.582481612672426
profit,1.582481612672426
warranty,1.582481612672426
audits,1.582481612672426
represented,1.582481612672426
adjust,1.582481612672426
prepared,1.582481612672426
announced,1.582481612672426
reasons,1.582481612672426
maintenance,1.582481612672426
affecting,1.582481612672426
monitor,1.582481612672426
developed,1.5920510636885765
mature,1.5920510636885765
involving,1.5920510636885765
qualified,1.5920510636885765
manufacturing,1.5920510636885765
achieve,1.5920510636885765
ratably,1.5920510636885765
accepted,1.5920510636885765
work,1.5920510636885765
difference,1.5920510636885765
duration,1.6017129746003134
summary,1.6017129746003134
none,1.6017129746003134
type,1.6017129746003134
fee,1.6017129746003134
safety,1.6017129746003134
complexity,1.6017129746003134
conform,1.6017129746003134
governmental,1.6017129746003134
retain,1.6017129746003134
competitors,1.6017129746003134
largely,1.6017129746003134
75,1.6017129746003134
exposures,1.6017129746003134
example,1.611469149545678
anticipates,1.611469149545678
36,1.611469149545678
fact,1.611469149545678
satisfy,1.611469149545678
consumer,1.611469149545678
developments,1.611469149545678
implement,1.611469149545678
orders,1.611469149545678
delivered,1.6213214459886898
prevent,1.6213214459886898
times,1.6213214459886898
breach,1.6213214459886898
expiration,1.6213214459886898
four,1.6213214459886898
500,1.6213214459886898
depreciation,1.6213214459886898
challenges,1.6213214459886898
outcomes,1.6213214459886898
